FFPC ID,Player,Position,ADP,Times Drafted,Date
10025,Julio Jones,WR,250.35,32,2022-06-24
14038,Mike Evans,WR,24.5,44,2022-06-23
26943,Chris Godwin,WR,67.93,44,2022-06-23
5228,Tom Brady,QB,81.43,44,2022-06-23
27341,Russell Gage,WR,88.14,44,2022-06-23
T0742,Rob Gronkowski,TE,152.75,42,2022-06-23
24443,Cameron Brate,TE,171.7,44,2022-06-23
10025,Julio Jones,WR,259.48,30,2022-06-23
14038,Mike Evans,WR,24.4,48,2022-06-22
26943,Chris Godwin,WR,68.31,48,2022-06-22
5228,Tom Brady,QB,81.08,48,2022-06-22
27341,Russell Gage,WR,88.98,48,2022-06-22
T0742,Rob Gronkowski,TE,149.96,46,2022-06-22
24443,Cameron Brate,TE,175.31,48,2022-06-22
10025,Julio Jones,WR,252.02,36,2022-06-22
14038,Mike Evans,WR,24.53,45,2022-06-21
26943,Chris Godwin,WR,68.02,45,2022-06-21
5228,Tom Brady,QB,80.76,45,2022-06-21
27341,Russell Gage,WR,90.38,45,2022-06-21
T0742,Rob Gronkowski,TE,142.71,43,2022-06-21
24443,Cameron Brate,TE,178.82,45,2022-06-21
10025,Julio Jones,WR,253.87,33,2022-06-21
14038,Mike Evans,WR,24.98,46,2022-06-20
26943,Chris Godwin,WR,67.7,46,2022-06-20
5228,Tom Brady,QB,81.22,46,2022-06-20
27341,Russell Gage,WR,91.78,46,2022-06-20
T0742,Rob Gronkowski,TE,136,44,2022-06-20
24443,Cameron Brate,TE,182.63,46,2022-06-20
10025,Julio Jones,WR,249.09,35,2022-06-20
14038,Mike Evans,WR,24.96,46,2022-06-19
26943,Chris Godwin,WR,65.72,46,2022-06-19
5228,Tom Brady,QB,81.54,46,2022-06-19
27341,Russell Gage,WR,92.28,46,2022-06-19
T0742,Rob Gronkowski,TE,122.26,45,2022-06-19
24443,Cameron Brate,TE,188.22,46,2022-06-19
10025,Julio Jones,WR,243.13,36,2022-06-19
14038,Mike Evans,WR,24.74,43,2022-06-18
26943,Chris Godwin,WR,65.53,43,2022-06-18
5228,Tom Brady,QB,81.4,43,2022-06-18
27341,Russell Gage,WR,93.02,43,2022-06-18
T0742,Rob Gronkowski,TE,117.56,43,2022-06-18
24443,Cameron Brate,TE,188.56,43,2022-06-18
10025,Julio Jones,WR,239.05,35,2022-06-18
14038,Mike Evans,WR,24.96,45,2022-06-17
26943,Chris Godwin,WR,63.82,45,2022-06-17
5228,Tom Brady,QB,81.96,45,2022-06-17
27341,Russell Gage,WR,95.07,45,2022-06-17
T0742,Rob Gronkowski,TE,111.69,45,2022-06-17
24443,Cameron Brate,TE,194.2,45,2022-06-17
10025,Julio Jones,WR,225.24,41,2022-06-17
14038,Mike Evans,WR,25.33,45,2022-06-16
26943,Chris Godwin,WR,62.2,45,2022-06-16
5228,Tom Brady,QB,82.09,45,2022-06-16
27341,Russell Gage,WR,97.11,45,2022-06-16
T0742,Rob Gronkowski,TE,107.22,45,2022-06-16
24443,Cameron Brate,TE,195.98,45,2022-06-16
10025,Julio Jones,WR,232.67,38,2022-06-16
14038,Mike Evans,WR,25.2,45,2022-06-15
26943,Chris Godwin,WR,60.71,45,2022-06-15
5228,Tom Brady,QB,81.51,45,2022-06-15
27341,Russell Gage,WR,97.91,45,2022-06-15
T0742,Rob Gronkowski,TE,108.11,45,2022-06-15
24443,Cameron Brate,TE,199.56,45,2022-06-15
10025,Julio Jones,WR,228.13,39,2022-06-15
14038,Mike Evans,WR,25.11,44,2022-06-14
26943,Chris Godwin,WR,59.5,44,2022-06-14
5228,Tom Brady,QB,81.27,44,2022-06-14
27341,Russell Gage,WR,98.27,44,2022-06-14
T0742,Rob Gronkowski,TE,104.48,44,2022-06-14
24443,Cameron Brate,TE,203.89,44,2022-06-14
10025,Julio Jones,WR,227.16,39,2022-06-14
14038,Mike Evans,WR,25.15,41,2022-06-13
26943,Chris Godwin,WR,59.51,41,2022-06-13
5228,Tom Brady,QB,79.66,41,2022-06-13
27341,Russell Gage,WR,101.66,41,2022-06-13
T0742,Rob Gronkowski,TE,105.63,41,2022-06-13
24443,Cameron Brate,TE,204.83,41,2022-06-13
10025,Julio Jones,WR,229.8,36,2022-06-13
